trial,sequence,response,correct,total,proportion,extra
"1,""3,2,0,1,2,2,0,4"",""3,2,0,0,2,4,0,2"",5,8,0.625,"
"2,""3,3,8,0,7,1,2,3"",""3,3,8,0,7,1,2,3"",8,8,1.0,"
"3,""6,7,2,6,1,1,8,7"",""6,7,2,2,1,8,7,7"",5,8,0.625,"
"4,""6,8,2,1,5,0,4,9"",""6,8,2,0,5,0,4,9"",7,8,0.875,"
"5,""3,0,3,9,9,6,9,2"",""3,0,3,9,9,6,9,3"",7,8,0.875,"
"6,""2,0,4,4,9,4,8,4"",""2,0,4,4,9,0,4,2"",5,8,0.625,"
"7,""3,7,4,5,0,5,8,1"",""3,7,4,5,0,5,8,1"",8,8,1.0,"
"8,""3,5,0,8,3,7,2,6"",""3,5,0,8,7,4,7,7"",4,8,0.5,"
"9,""1,5,6,4,9,0,1,3"",""1,5,6,4,9,0,1,3"",8,8,1.0,"
"10,""9,2,6,6,1,3,3,8"",""9,2,6,6,1,3,3,8"",8,8,1.0,"
"11,""1,0,0,9,4,1,9,8"",""1,0,0,9,4,1,9,8"",8,8,1.0,"
"12,""0,3,2,6,7,5,8,7"",""0,3,2,6,7,5,8,7"",8,8,1.0,"
"13,""0,9,9,5,1,1,3,2"",""0,9,9,5,1,1,3,2"",8,8,1.0,"
"14,""5,5,6,6,7,1,6,1"",""5,5,6,6,7,1,7,7"",6,8,0.75,"
"15,""7,8,1,3,6,6,7,3"",""7,8,1,3,6,6,7,3"",8,8,1.0,"
"16,""2,0,0,6,9,3,8,2"",""2,0,0,6,9,3,8,2"",8,8,1.0,"
"17,""7,5,0,3,1,8,6,4"",""7,5,0,3,1,8,6,4"",8,8,1.0,"
"18,""8,5,3,1,7,5,7,6"",""8,5,3,1,7,5,7,6"",8,8,1.0,"
"19,""4,1,2,3,0,0,3,2"",""4,1,2,3,0,0,3,2"",8,8,1.0,"
"20,""1,8,2,5,6,9,8,5"",""1,8,6,2,5,8,7,6"",2,8,0.25,"
